MOF,Ground_State_Energy
str_m1_o10_o18_pcu_sym.166.cif,-0.3591267692980209
str_m2_o1_o1_pcu_sym.13.cif,-0.3584221221064641
str_m2_o1_o1_pcu_sym.22.cif,-0.3593380672507396
str_m2_o1_o1_pcu_sym.28.cif,-0.3592220883377765
str_m2_o1_o1_pcu_sym.31.cif,-0.35728100740629765
str_m2_o1_o1_pcu_sym.39.cif,-0.3600192771329669
str_m2_o1_o1_pcu_sym.43.cif,-0.3594034035184009
str_m2_o1_o1_pcu_sym.62.cif,-0.36054372162042775
str_m2_o1_o1_pcu_sym.70.cif,-0.3599394016916874
str_m2_o1_o1_pcu_sym.81.cif,-0.3595556462489062
